"Index" "mc.m" "mt.m" "oc.m" "ot.m"
2017-06-09 22:00:00 5.45306838161039 NA NA 10.2893544160553
2017-06-09 23:00:00 5.35387008377449 NA NA 7.5928590934292
2017-06-10 00:00:00 6.74671303855887 NA NA 7.70073792659207
2017-06-10 01:00:00 5.59739639515545 NA NA 8.16697948802719
2017-06-10 02:00:00 6.5409977676423 NA NA 10.2163873613116
2017-06-10 03:00:00 6.03143240813987 NA NA 10.0331349899259
2017-06-10 04:00:00 8.18558758880075 NA NA 18.6463441613507
2017-06-10 05:00:00 7.58908847126363 NA NA 19.1432963357437
2017-06-10 06:00:00 7.52930359158325 NA NA 12.2962145649324
2017-06-10 07:00:00 9.70764975778092 NA NA 13.1606279854756
2017-06-10 08:00:00 8.82372080552571 NA NA 11.5259139102585
2017-06-10 09:00:00 14.1756019286659 NA NA 11.8356272745885
2017-06-10 10:00:00 14.7198177686121 NA NA 14.881385564704
2017-06-10 11:00:00 18.3190031167881 NA NA 13.1298440224868
2017-06-10 12:00:00 19.7404060337056 NA NA 8.95502562117439
2017-06-10 13:00:00 20.7883466506161 NA NA 9.29792638974265
2017-06-10 14:00:00 21.7784743298921 NA NA 10.4996535475125
2017-06-10 15:00:00 20.1003639646698 NA NA 8.74131817272386
2017-06-10 16:00:00 21.1373048097257 NA NA 7.90902744584643
2017-06-10 17:00:00 17.9432146135747 NA NA 7.04024806130168
2017-06-10 18:00:00 14.9669493971497 NA NA 11.7610374192198
2017-06-10 19:00:00 12.1532142642327 NA NA 6.79736403073734
2017-06-10 20:00:00 8.26587169261672 NA NA 8.78491562527703
2017-06-10 21:00:00 8.98685666045177 NA NA 6.18653805337923
2017-06-10 22:00:00 6.15746455280439 NA NA 7.04307021614444
2017-06-10 23:00:00 5.68046499894043 NA NA 6.74112253427699
2017-06-11 00:00:00 6.36599877290055 NA NA 7.44902259378579
2017-06-11 01:00:00 6.19104216610997 NA NA 9.09495555138502
2017-06-11 02:00:00 6.33807417940158 NA NA 8.06009039313084
2017-06-11 03:00:00 6.67790697774289 NA NA 12.6457338768866
2017-06-11 04:00:00 8.4545605823855 NA NA 16.3441056309281
2017-06-11 05:00:00 7.65853154774272 NA NA 14.455468294066
2017-06-11 06:00:00 7.33417442807129 NA NA 17.7391716523204
2017-06-11 07:00:00 9.10443579248681 NA NA 13.0594192230301
2017-06-11 08:00:00 10.5708759727521 NA NA 16.6290370493859
2017-06-11 09:00:00 12.0130861505486 NA NA 15.9328751174552
2017-06-11 10:00:00 14.3148593052857 NA NA 11.1065400938452
2017-06-11 11:00:00 16.8522181660367 NA NA 10.0377377358357
2017-06-11 12:00:00 19.4286621235331 NA NA 10.8826114661229
2017-06-11 13:00:00 16.1846207934116 NA NA 14.3670018443688
2017-06-11 14:00:00 17.7429686436955 NA NA 9.46255287654731
2017-06-11 15:00:00 18.4186906093197 NA NA 9.39961923921842
